Time,K0,K1,K2,K3,K4,K5,K6,K7,K8,K9
0,181.94330283635153,104.2111834913371,196.43475824483284,159.26427046287463,187.13286922836738,155.53283005690363,167.83080330761607,44.40312516836506,121.74992521661258,103.12032123262152
1,181.94330283635153,48.38389158904943,196.43475824483284,69.11672183332118,131.8860739758138,155.53283005690363,79.68238346946218,207.17420526956374,121.74992521661258,129.5055850604308
2,6.14183135419951,115.96793156612027,8.145697633633942,159.26427046287463,53.8423784289758,28.8559793826016,109.63961522578603,207.17420526956374,9.370662182555515,129.5055850604308
3,6.891547248389608,57.72956083236097,0.45516165973033157,159.26427046287463,73.9786427591569,2.1470345817879823,135.15736433100534,24.382819204080956,121.74992521661258,129.5055850604308
4,125.72560447410531,64.40407249059643,20.567317100646697,159.26427046287463,187.13286922836738,32.74911613943598,167.83080330761607,3.593886999705414,0.02080828131437098,129.5055850604308
5,0.5357476962897754,115.96793156612027,196.43475824483284,159.26427046287463,139.78176704085394,155.53283005690363,100.59250174988551,102.4121201359286,5.125754200429599,129.5055850604308
6,0.00037623470253745375,115.96793156612027,196.43475824483284,159.26427046287463,17.33337989480368,155.53283005690363,167.83080330761607,207.17420526956374,121.74992521661258,2.5084656816112574
7,3.252046407800561,115.96793156612027,196.43475824483284,5.340215194883419,46.58824153235122,155.53283005690363,167.83080330761607,6.697910511589601,121.74992521661258,129.5055850604308
8,0.157331032628715,115.96793156612027,151.84196780796213,34.949125928564534,5.720975363515926,9.887623861145467,150.52212650889118,123.85334410205235,12.452776168485805,12.424703379760764
9,0.4574007339912204,115.96793156612027,196.43475824483284,26.784197733395708,76.29814277138179,155.53283005690363,167.04026394524726,207.17420526956374,121.74992521661258,129.5055850604308
10,0.049268692398480966,115.96793156612027,13.029046746603527,159.26427046287463,187.13286922836738,2.2825029173838165,156.96684026921062,3.391847202715873,2.0395518363418366,103.0104258632496
11,181.94330283635153,115.96793156612027,2.3098422309015185,159.26427046287463,187.13286922836738,36.35105311327887,149.88687648119648,207.17420526956374,1.3100971201455296,129.5055850604308
12,84.81339755491628,115.96793156612027,196.43475824483284,159.26427046287463,187.13286922836738,155.53283005690363,148.76651456066182,158.00301613136037,1.1630566029845322,129.5055850604308
13,18.887992864114928,48.914248776689405,196.43475824483284,159.26427046287463,187.13286922836738,155.53283005690363,167.1802427081088,207.17420526956374,115.8308369422032,124.87357273367839
14,181.94330283635153,98.40328478678994,0.3568950733844754,15.92974934878976,52.78019760745976,123.03238853096096,134.5434983699242,122.16662110802694,51.0622759666034,7.431262770394285
15,51.60398169479238,21.200351515277006,196.43475824483284,159.26427046287463,40.69833970647862,155.53283005690363,167.83080330761607,207.17420526956374,121.74992521661258,38.04977790907341
16,35.38204544066857,115.96793156612027,196.43475824483284,159.26427046287463,80.94598494594459,155.53283005690363,167.83080330761607,207.17420526956374,121.74992521661258,129.5055850604308
17,0.9486451709834861,115.96793156612027,196.43475824483284,20.6236433885019,187.13286922836738,155.53283005690363,167.83080330761607,207.17420526956374,5.537276550642201,11.626116818678716
18,76.85419973190136,115.96793156612027,99.73528406811302,147.48417491116462,38.40506123695611,169.75166059580513,133.84380316214742,207.17420526956374,35.95398111062365,129.5055850604308
